PERIOD,TYPE,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,REPORTING_ORG_NAME,REPORTING_ORG_CODE,CLUSTER_GROUP,BENCHMARK_GROUP,STAFF_GROUP_1_NAME,HC,FTE
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Guy's and St Thomas' NHS Foundation Trust,RJ1,Acute,Acute - Teaching,Unknown classification,36,34.63666
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,All staff groups,12962,12054.69513
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,HCHS Doctors (exc. Resident doctors and equivalents),1421,1250.81576
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,Nurses & health visitors,4697,4505.14409
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,Midwives,488,410.3617
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,"Scientific, therapeutic & technical staff",1924,1759.28896
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,"Support to doctors, nurses & midwives",2779,2541.1719
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,Support to ST&T staff,433,399.35098
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,Senior managers,160,157.93333
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,Managers,129,125.34
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,Central functions,782,754.10851
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,"Hotel, property & estates",150,143.0175
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,Unknown classification,9,8.1624
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,All staff groups,7370,6729.19303
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,HCHS Doctors (exc. Resident doctors and equivalents),511,474.85713
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,Nurses & health visitors,2527,2355.6569
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,Midwives,358,303.31989
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,Ambulance staff,13,11.75666
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,"Scientific, therapeutic & technical staff",935,856.74358
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,"Support to doctors, nurses & midwives",1963,1740.84492
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,Support to ST&T staff,425,375.68855
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,Senior managers,35,34.1
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,Managers,165,160.62
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,Central functions,362,344.50086
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,"Hotel, property & estates",78,71.10454
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,All staff groups,8369,7859.46851
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,HCHS Doctors (exc. Resident doctors and equivalents),9,4.55
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,Nurses & health visitors,88,74.87065
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,Ambulance staff,3413,3280.89188
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,"Scientific, therapeutic & technical staff",19,17.3
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,Support to ambulance staff,3505,3200.23188
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,Senior managers,96,94.7
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,Managers,229,224.99039
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,Central functions,429,414.12044
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,"Hotel, property & estates",591,546.81327
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,Unknown classification,1,1.0
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,NHS South East London ICB,QKK,Integrated Care Board,Integrated Care Board,All staff groups,736,623.53289
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,NHS South East London ICB,QKK,Integrated Care Board,Integrated Care Board,HCHS Doctors (exc. Resident doctors and equivalents),104,24.1917
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,NHS South East London ICB,QKK,Integrated Care Board,Integrated Care Board,Nurses & health visitors,69,60.24333
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,NHS South East London ICB,QKK,Integrated Care Board,Integrated Care Board,"Scientific, therapeutic & technical staff",55,50.91999
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,NHS South East London ICB,QKK,Integrated Care Board,Integrated Care Board,"Support to doctors, nurses & midwives",7,5.4
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,NHS South East London ICB,QKK,Integrated Care Board,Integrated Care Board,Senior managers,90,86.75333
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,NHS South East London ICB,QKK,Integrated Care Board,Integrated Care Board,Managers,179,173.58
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,NHS South East London ICB,QKK,Integrated Care Board,Integrated Care Board,Central functions,235,222.44454
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,All staff groups,5000,4547.48789
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,HCHS Doctors (exc. Resident doctors and equivalents),153,135.56667
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,Nurses & health visitors,1548,1441.97603
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,Ambulance staff,7,7.0
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,"Scientific, therapeutic & technical staff",1111,971.82876
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,"Support to doctors, nurses & midwives",1053,936.02731
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,Support to ST&T staff,474,436.85963
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,Senior managers,91,88.46667
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,Managers,95,91.48
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,Central functions,461,423.18282
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,"Hotel, property & estates",17,15.1
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,All staff groups,6335,5885.44843
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,HCHS Doctors (exc. Resident doctors and equivalents),329,278.2417
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,Nurses & health visitors,1379,1330.8318
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,"Scientific, therapeutic & technical staff",1807,1599.42628
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,"Support to doctors, nurses & midwives",1128,1037.98721
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,Support to ST&T staff,695,677.24184
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,Senior managers,112,108.80667
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,Managers,267,255.37
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,Central functions,462,433.59626
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,"Hotel, property & estates",164,160.94667
202509 to 202510,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,Unknown classification,3,3.0
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,All staff groups,8348,7688.46484
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,HCHS Doctors (exc. Resident doctors and equivalents),683,628.93603
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,Nurses & health visitors,2666,2491.70234
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,Midwives,361,302.23987
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,Ambulance staff,1,1.0
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,"Scientific, therapeutic & technical staff",1092,1015.51625
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,"Support to doctors, nurses & midwives",2196,1990.93217
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,Support to ST&T staff,658,586.45578
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,Senior managers,41,40.89333
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,Managers,109,108.1
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,Central functions,524,502.48907
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,"Hotel, property & estates",21,20.2
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,All staff groups,19589,18012.59531
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,HCHS Doctors (exc. Resident doctors and equivalents),1485,1320.78899
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,Nurses & health visitors,5672,5328.28949
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,Midwives,710,627.24194
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,Ambulance staff,9,8.25333
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,"Scientific, therapeutic & technical staff",2926,2701.66811
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,"Support to doctors, nurses & midwives",3366,3050.96273
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,Support to ambulance staff,185,178.2
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,Support to ST&T staff,918,823.18546
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,Senior managers,189,184.60667
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,Managers,197,190.72
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,Central functions,2435,2312.11864
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,"Hotel, property & estates",1510,1286.55995
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,All staff groups,7356,6814.1639
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,HCHS Doctors (exc. Resident doctors and equivalents),320,282.62894
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,Nurses & health visitors,2126,2023.9298
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,Ambulance staff,2,2.0
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,"Scientific, therapeutic & technical staff",1721,1526.78599
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,"Support to doctors, nurses & midwives",1942,1814.03242
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,Support to ST&T staff,587,525.02008
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,Senior managers,205,199.42667
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,Managers,42,41.04
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,Central functions,386,365.6
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,"Hotel, property & estates",35,33.7
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,All staff groups,4317,3897.12429
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,HCHS Doctors (exc. Resident doctors and equivalents),314,259.64395
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,Nurses & health visitors,1274,1191.92213
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,Midwives,301,253.80287
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,Ambulance staff,6,5.22
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,"Scientific, therapeutic & technical staff",803,700.08522
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,"Support to doctors, nurses & midwives",814,725.28611
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,Support to ambulance staff,1,0.7
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,Support to ST&T staff,299,272.66346
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,Senior managers,17,16.40667
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,Managers,80,78.96667
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,Central functions,354,339.63388
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,"Hotel, property & estates",59,52.79333
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,NHS North East London ICB,QMF,Integrated Care Board,Integrated Care Board,All staff groups,897,863.41203
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,NHS North East London ICB,QMF,Integrated Care Board,Integrated Care Board,HCHS Doctors (exc. Resident doctors and equivalents),7,3.2387
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,NHS North East London ICB,QMF,Integrated Care Board,Integrated Care Board,Nurses & health visitors,36,33.4
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,NHS North East London ICB,QMF,Integrated Care Board,Integrated Care Board,Midwives,1,0.6
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,NHS North East London ICB,QMF,Integrated Care Board,Integrated Care Board,"Scientific, therapeutic & technical staff",44,37.25333
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,NHS North East London ICB,QMF,Integrated Care Board,Integrated Care Board,Senior managers,83,80.3
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,NHS North East London ICB,QMF,Integrated Care Board,Integrated Care Board,Managers,353,347.92
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,NHS North East London ICB,QMF,Integrated Care Board,Integrated Care Board,Central functions,374,360.7
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,All staff groups,8029,7226.48493
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,HCHS Doctors (exc. Resident doctors and equivalents),223,205.1298
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,Nurses & health visitors,2535,2332.04224
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,Ambulance staff,8,6.01333
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,"Scientific, therapeutic & technical staff",1852,1647.79344
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,"Support to doctors, nurses & midwives",1685,1453.7803
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,Support to ambulance staff,3,2.61333
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,Support to ST&T staff,796,719.38163
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,Senior managers,40,40.0
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,Managers,102,99.62
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,Central functions,772,689.44419
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,"Hotel, property & estates",22,20.86667
202509 to 202510,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,Unknown classification,10,9.8
202509 to 202510,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,All staff groups,8732,7925.86044
202509 to 202510,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,HCHS Doctors (exc. Resident doctors and equivalents),365,305.96307
202509 to 202510,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,Nurses & health visitors,2634,2448.50591
202509 to 202510,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,Ambulance staff,12,11.21333
202509 to 202510,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,"Scientific, therapeutic & technical staff",2099,1791.69191
202509 to 202510,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,"Support to doctors, nurses & midwives",2015,1846.25678
202509 to 202510,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,Support to ST&T staff,842,781.42654
202509 to 202510,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,Senior managers,32,30.84286
202509 to 202510,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,Managers,335,324.16002
202509 to 202510,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,Central functions,392,367.10003
202509 to 202510,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,"Hotel, property & estates",21,18.69999
