PERIOD,TYPE,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,REPORTING_ORG_NAME,REPORTING_ORG_CODE,CLUSTER_GROUP,BENCHMARK_GROUP,STAFF_GROUP_1_NAME,HC,FTE
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,Managers,136,132.14
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,Central functions,785,756.38851
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,"Hotel, property & estates",150,143.68416
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,King's College Hospital NHS Foundation Trust,RJZ,Acute,Acute - Teaching,Unknown classification,10,8.68907
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,All staff groups,7428,6783.45906
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,HCHS Doctors (exc. Resident doctors and equivalents),513,475.41913
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,Nurses & health visitors,2559,2386.95368
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,Midwives,364,309.3999
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,Ambulance staff,11,9.85666
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,"Scientific, therapeutic & technical staff",947,868.15024
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,"Support to doctors, nurses & midwives",1974,1750.59825
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,Support to ST&T staff,427,377.47247
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,Senior managers,36,34.85
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,Managers,162,157.71333
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,Central functions,358,340.94086
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Lewisham and Greenwich NHS Trust,RJ2,Acute,Acute - Large,"Hotel, property & estates",79,72.10454
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,All staff groups,8342,7832.40854
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,HCHS Doctors (exc. Resident doctors and equivalents),9,4.55
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,Nurses & health visitors,89,76.46532
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,Ambulance staff,3444,3312.3812
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,"Scientific, therapeutic & technical staff",19,17.3
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,Support to ambulance staff,3438,3134.44792
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,Senior managers,96,94.7
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,Managers,232,227.99039
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,Central functions,427,411.82044
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,"Hotel, property & estates",598,551.75327
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,London Ambulance Service NHS Trust,RRU,Ambulance,Ambulance Trust,Unknown classification,1,1.0
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,NHS South East London ICB,QKK,Integrated Care Board,Integrated Care Board,All staff groups,727,618.74919
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,NHS South East London ICB,QKK,Integrated Care Board,Integrated Care Board,HCHS Doctors (exc. Resident doctors and equivalents),100,23.908
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,NHS South East London ICB,QKK,Integrated Care Board,Integrated Care Board,Nurses & health visitors,68,59.64333
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,NHS South East London ICB,QKK,Integrated Care Board,Integrated Care Board,"Scientific, therapeutic & technical staff",55,50.61999
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,NHS South East London ICB,QKK,Integrated Care Board,Integrated Care Board,"Support to doctors, nurses & midwives",7,5.4
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,NHS South East London ICB,QKK,Integrated Care Board,Integrated Care Board,Senior managers,90,87.15333
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,NHS South East London ICB,QKK,Integrated Care Board,Integrated Care Board,Managers,177,171.58
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,NHS South East London ICB,QKK,Integrated Care Board,Integrated Care Board,Central functions,233,220.44454
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,All staff groups,5025,4566.71252
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,HCHS Doctors (exc. Resident doctors and equivalents),154,137.16667
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,Nurses & health visitors,1561,1454.70598
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,Ambulance staff,7,7.0
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,"Scientific, therapeutic & technical staff",1114,971.03543
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,"Support to doctors, nurses & midwives",1041,923.72198
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,Support to ST&T staff,488,450.95963
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,Senior managers,91,88.25334
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,Managers,97,93.48
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,Central functions,466,426.28949
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,Oxleas NHS Foundation Trust,RPG,Mental Health,Mental Health and Learning Disability,"Hotel, property & estates",16,14.1
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,All staff groups,6382,5930.03973
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,HCHS Doctors (exc. Resident doctors and equivalents),328,278.4917
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,Nurses & health visitors,1402,1351.98513
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,"Scientific, therapeutic & technical staff",1830,1619.30094
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,"Support to doctors, nurses & midwives",1130,1041.08719
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,Support to ST&T staff,698,678.44184
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,Senior managers,113,109.90667
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,Managers,270,258.79
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,Central functions,457,430.08959
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,"Hotel, property & estates",163,159.94667
202510 to 202511,Denominator at end of period,Y56,London,QKK,South East London,South London and Maudsley NHS Foundation Trust,RV5,Mental Health,Mental Health and Learning Disability,Unknown classification,2,2.0
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,All staff groups,8335,7682.80843
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,HCHS Doctors (exc. Resident doctors and equivalents),690,636.12294
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,Nurses & health visitors,2672,2499.58568
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,Midwives,359,300.83321
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,Ambulance staff,1,1.0
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,"Scientific, therapeutic & technical staff",1094,1019.29626
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,"Support to doctors, nurses & midwives",2175,1972.42549
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,Support to ST&T staff,659,587.76245
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,Senior managers,41,40.89333
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,Managers,108,107.4
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,Central functions,517,496.28907
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,"Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Acute,Acute - Teaching,"Hotel, property & estates",22,21.2
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,All staff groups,19631,18049.19085
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,HCHS Doctors (exc. Resident doctors and equivalents),1498,1332.08899
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,Nurses & health visitors,5692,5349.18214
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,Midwives,707,623.37527
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,Ambulance staff,8,7.25333
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,"Scientific, therapeutic & technical staff",2968,2741.74145
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,"Support to doctors, nurses & midwives",3349,3031.19499
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,Support to ambulance staff,187,179.6
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,Support to ST&T staff,925,829.66277
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,Senior managers,204,199.60667
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,Managers,198,192.21333
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,Central functions,2399,2276.71196
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,"Hotel, property & estates",1508,1285.55995
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Barts Health NHS Trust,R1H,Acute,Acute - Teaching,Unknown classification,1,1.0
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,All staff groups,7390,6851.33098
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,HCHS Doctors (exc. Resident doctors and equivalents),319,281.51227
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,Nurses & health visitors,2128,2027.38021
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,Ambulance staff,2,2.0
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,"Scientific, therapeutic & technical staff",1733,1538.79933
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,"Support to doctors, nurses & midwives",1960,1835.09909
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,Support to ST&T staff,585,522.64008
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,Senior managers,206,200.42667
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,Managers,43,42.04
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,Central functions,387,366.73333
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,East London NHS Foundation Trust,RWK,Mental Health,Mental Health and Learning Disability,"Hotel, property & estates",36,34.7
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,All staff groups,4338,3922.29821
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,HCHS Doctors (exc. Resident doctors and equivalents),318,264.71895
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,Nurses & health visitors,1280,1197.8696
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,Midwives,300,252.70287
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,Ambulance staff,6,5.22
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,"Scientific, therapeutic & technical staff",801,702.36655
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,"Support to doctors, nurses & midwives",823,733.38957
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,Support to ambulance staff,1,0.7
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,Support to ST&T staff,300,274.21013
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,Senior managers,17,16.40667
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,Managers,82,80.56667
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,Central functions,353,339.35387
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,Homerton Healthcare NHS Foundation Trust,RQX,Acute,Acute - Teaching,"Hotel, property & estates",61,54.79333
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,NHS North East London ICB,QMF,Integrated Care Board,Integrated Care Board,All staff groups,891,858.41203
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,NHS North East London ICB,QMF,Integrated Care Board,Integrated Care Board,HCHS Doctors (exc. Resident doctors and equivalents),7,3.2387
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,NHS North East London ICB,QMF,Integrated Care Board,Integrated Care Board,Nurses & health visitors,35,32.8
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,NHS North East London ICB,QMF,Integrated Care Board,Integrated Care Board,Midwives,1,0.6
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,NHS North East London ICB,QMF,Integrated Care Board,Integrated Care Board,"Scientific, therapeutic & technical staff",44,37.15333
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,NHS North East London ICB,QMF,Integrated Care Board,Integrated Care Board,Senior managers,84,81.3
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,NHS North East London ICB,QMF,Integrated Care Board,Integrated Care Board,Managers,352,346.42
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,NHS North East London ICB,QMF,Integrated Care Board,Integrated Care Board,Central functions,369,356.9
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,All staff groups,7998,7199.3128
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,HCHS Doctors (exc. Resident doctors and equivalents),225,206.2798
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,Nurses & health visitors,2522,2320.12676
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,Ambulance staff,7,5.61333
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,"Scientific, therapeutic & technical staff",1868,1662.65344
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,"Support to doctors, nurses & midwives",1667,1437.30031
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,Support to ambulance staff,3,2.61333
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,Support to ST&T staff,797,719.79497
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,Senior managers,41,41.0
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,Managers,105,102.62
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,Central functions,752,671.64419
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,"Hotel, property & estates",22,20.86667
202510 to 202511,Denominator at end of period,Y56,London,QMF,North East London,North East London NHS Foundation Trust,RAT,Mental Health,Mental Health and Learning Disability,Unknown classification,9,8.8
202510 to 202511,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,All staff groups,8690,7889.07684
202510 to 202511,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,HCHS Doctors (exc. Resident doctors and equivalents),363,305.06307
202510 to 202511,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,Nurses & health visitors,2619,2435.29591
202510 to 202511,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,Ambulance staff,14,13.21333
202510 to 202511,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,"Scientific, therapeutic & technical staff",2106,1798.46525
202510 to 202511,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,"Support to doctors, nurses & midwives",1992,1822.98318
202510 to 202511,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,Support to ST&T staff,842,782.95321
202510 to 202511,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,Senior managers,27,26.54286
202510 to 202511,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,Managers,341,328.55335
202510 to 202511,Denominator at end of period,Y56,London,QMJ,North Central London,Central and North West London NHS Foundation Trust,RV3,Mental Health,Mental Health and Learning Disability,Central functions,380,357.30669
